date,year,meeting_id,statement_url,statement_text,statement_clean_text,statement_n_words,statement_download_error,rate_decision
2000-02-02,2000,2000-02-02,https://www.federalreserve.gov/boarddocs/press/general/2000/20000202/,"Release Date: February 2, 2000 For immediate release The Federal Open Market Committee voted today to raise its target for the federal funds rate by 25 basis points to 5-3/4 percent. In a related action, the Board of Governors approved a 25 basis point increase in the discount rate to 5-1/4 percent. The Committee remains concerned that over time increases in demand will continue to exceed the growth in potential supply, even after taking account of the pronounced rise in productivity growth. Such trends could foster inflationary imbalances that would undermine the economy's record economic expansion. Against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the Committee believes the risks are weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future. In taking the discount rate action, the Federal Reserve Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Philadelphia, Cleveland, Richmond, Atlanta, Chicago, St. Louis, Kansas City and San Francisco. The discount rate is the rate charged depository institutions when they borrow short-term adjustment credit from their district Federal Reserve Banks. 2000 Monetary policy Home | News and events Accessibility Last update: February 2, 2000","release date: february 2, 2000 for immediate release the federal open market committee voted today to raise its target for the federal funds rate by 25 basis points to 5-3/4 percent. in a related action, the board of governors approved a 25 basis point increase in the discount rate to 5-1/4 percent. the committee remains concerned that over time increases in demand will continue to exceed the growth in potential supply, even after taking account of the pronounced rise in productivity growth. such trends could foster inflationary imbalances that would undermine the economy's record economic expansion. against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the committee believes the risks are weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future. in taking the discount rate action, the federal reserve board approved requests submitted by the boards of directors of the federal reserve banks of boston, new york, philadelphia, cleveland, richmond, atlanta, chicago, st. louis, kansas city and san francisco. the discount rate is the rate charged depository institutions when they borrow short-term adjustment credit from their district federal reserve banks. 2000 monetary policy home | news and events accessibility last update: february 2, 2000",202,,hike
2000-03-21,2000,2000-03-21,https://www.federalreserve.gov/boarddocs/press/general/2000/20000321/,"Release Date: March 21, 2000 For immediate release The Federal Open Market Committee voted today to raise its target for the federal funds rate by 25 basis points to 6 percent. In a related action, the Board of Governors approved a 25 basis point increase in the discount rate to 5-1/2 percent. Economic conditions and considerations addressed by the Committee are essentially the same as when the Committee met in February. The Committee remains concerned that increases in demand will continue to exceed the growth in potential supply, which could foster inflationary imbalances that would undermine the economy's record economic expansion. Against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the Committee believes the risks are weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future. In taking the discount rate action, the Federal Reserve Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Philadelphia, Cleveland, Richmond, Atlanta, Chicago, St. Louis, Minneapolis, Kansas City and San Francisco. The discount rate is the rate charged depository institutions when they borrow short-term adjustment credit from their district Federal Reserve Banks. 2001 Monetary policy Home | News and events Accessibility Last update: March 21, 2000","release date: march 21, 2000 for immediate release the federal open market committee voted today to raise its target for the federal funds rate by 25 basis points to 6 percent. in a related action, the board of governors approved a 25 basis point increase in the discount rate to 5-1/2 percent. economic conditions and considerations addressed by the committee are essentially the same as when the committee met in february. the committee remains concerned that increases in demand will continue to exceed the growth in potential supply, which could foster inflationary imbalances that would undermine the economy's record economic expansion. against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the committee believes the risks are weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future. in taking the discount rate action, the federal reserve board approved requests submitted by the boards of directors of the federal reserve banks of boston, new york, philadelphia, cleveland, richmond, atlanta, chicago, st. louis, minneapolis, kansas city and san francisco. the discount rate is the rate charged depository institutions when they borrow short-term adjustment credit from their district federal reserve banks. 2001 monetary policy home | news and events accessibility last update: march 21, 2000",208,,hike
2000-05-16,2000,2000-05-16,https://www.federalreserve.gov/boarddocs/press/general/2000/20000516/,"Release Date: May 16, 2000 For immediate release The Federal Open Market Committee voted today to raise its target for the federal funds rate by 50 basis points to 6-1/2 percent. In a related action, the Board of Governors approved a 50 basis point increase in the discount rate to 6 percent. Increases in demand have remained in excess of even the rapid pace of productivity-driven gains in potential supply, exerting continued pressure on resources. The Committee is concerned that this disparity in the growth of demand and potential supply will continue, which could foster inflationary imbalances that would undermine the economy's outstanding performance. Against the background of its long-term goals of price stability and sustainable economic growth and of the information already available, the Committee believes the risks are weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future. In taking the discount rate action, the Federal Reserve Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, Cleveland, Richmond, and San Francisco. The discount rate is the rate charged depository institutions when they borrow short-term adjustment credit from their district Federal Reserve Banks. 2000 Monetary policy Home | News and events Accessibility Last update: May 16, 2000","release date: may 16, 2000 for immediate release the federal open market committee voted today to raise its target for the federal funds rate by 50 basis points to 6-1/2 percent. in a related action, the board of governors approved a 50 basis point increase in the discount rate to 6 percent. increases in demand have remained in excess of even the rapid pace of productivity-driven gains in potential supply, exerting continued pressure on resources. the committee is concerned that this disparity in the growth of demand and potential supply will continue, which could foster inflationary imbalances that would undermine the economy's outstanding performance. against the background of its long-term goals of price stability and sustainable economic growth and of the information already available, the committee believes the risks are weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future. in taking the discount rate action, the federal reserve board approved requests submitted by the boards of directors of the federal reserve banks of boston, cleveland, richmond, and san francisco. the discount rate is the rate charged depository institutions when they borrow short-term adjustment credit from their district federal reserve banks. 2000 monetary policy home | news and events accessibility last update: may 16, 2000",202,,hike
2000-06-28,2000,2000-06-28,https://www.federalreserve.gov/boarddocs/press/general/2000/20000628/,"Release Date: June 28, 2000 For immediate release The Federal Open Market Committee at its meeting today decided to maintain the existing stance of monetary policy, keeping its target for the federal funds rate at 6-1/2 percent. Recent data suggest that the expansion of aggregate demand may be moderating toward a pace closer to the rate of growth of the economy's potential to produce. Although core measures of prices are rising slightly faster than a year ago, continuing rapid advances in productivity have been containing costs and holding down underlying price pressures. Nonetheless, signs that growth in demand is moving to a sustainable pace are still tentative and preliminary, and the utilization of the pool of available workers remains at an unusually high level. In these circumstances, and against the background of its long-term goals of price stability and sustainable economic growth and of the information currently available, the Committee believes the risks continue to be weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future. 2000 Monetary policy Home | News and events Accessibility Last update: June 28, 2000","release date: june 28, 2000 for immediate release the federal open market committee at its meeting today decided to maintain the existing stance of monetary policy, keeping its target for the federal funds rate at 6-1/2 percent. recent data suggest that the expansion of aggregate demand may be moderating toward a pace closer to the rate of growth of the economy's potential to produce. although core measures of prices are rising slightly faster than a year ago, continuing rapid advances in productivity have been containing costs and holding down underlying price pressures. nonetheless, signs that growth in demand is moving to a sustainable pace are still tentative and preliminary, and the utilization of the pool of available workers remains at an unusually high level. in these circumstances, and against the background of its long-term goals of price stability and sustainable economic growth and of the information currently available, the committee believes the risks continue to be weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future. 2000 monetary policy home | news and events accessibility last update: june 28, 2000",178,,hold
2000-08-22,2000,2000-08-22,https://www.federalreserve.gov/boarddocs/press/general/2000/20000822/,"Release Date: August 22, 2000 For immediate release The Federal Open Market Committee at its meeting today decided to maintain the existing stance of monetary policy, keeping its target for the federal funds rate at 6-1/2 percent. Recent data have indicated that the expansion of aggregate demand is moderating toward a pace closer to the rate of growth of the economy's potential to produce. The data also have indicated that more rapid advances in productivity have been raising that potential growth rate as well as containing costs and holding down underlying price pressures. Nonetheless, the Committee remains concerned about the risk of a continuing gap between the growth of demand and potential supply at a time when the utilization of the pool of available workers remains at an unusually high level. Against the background of its long-term goals of price stability and sustainable economic growth and of the information currently available, the Committee believes the risks continue to be weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future. 2000 Monetary policy Home | News and events Accessibility Last update: August 22, 2000","release date: august 22, 2000 for immediate release the federal open market committee at its meeting today decided to maintain the existing stance of monetary policy, keeping its target for the federal funds rate at 6-1/2 percent. recent data have indicated that the expansion of aggregate demand is moderating toward a pace closer to the rate of growth of the economy's potential to produce. the data also have indicated that more rapid advances in productivity have been raising that potential growth rate as well as containing costs and holding down underlying price pressures. nonetheless, the committee remains concerned about the risk of a continuing gap between the growth of demand and potential supply at a time when the utilization of the pool of available workers remains at an unusually high level. against the background of its long-term goals of price stability and sustainable economic growth and of the information currently available, the committee believes the risks continue to be weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future. 2000 monetary policy home | news and events accessibility last update: august 22, 2000",181,,hold
2000-10-03,2000,2000-10-03,https://www.federalreserve.gov/boarddocs/press/general/2000/20001003/,"Release Date: October 3, 2000 For immediate release The Federal Open Market Committee at its meeting today decided to maintain the existing stance of monetary policy, keeping its target for the federal funds rate at 6-1/2 percent. Recent data have indicated that the expansion of aggregate demand has moderated to a pace closer to the enhanced rate of growth of the economy's potential to produce. The more rapid advances in productivity also continue to help contain costs and hold down underlying price pressures. However, the utilization of the pool of available workers remains at an unusually high level. Moreover, the increase in energy prices, though having limited effect on core measures of prices to date, poses a risk of raising inflation expectations. The subdued behavior of those expectations so far has contributed importantly to maintaining an environment conducive to maximum sustainable growth. Against the background of its long-term goals of price stability and sustainable economic growth and of the information currently available, the Committee believes the risks continue to be weighted mainly toward conditions that may generate heightened inflation pressures in the future. 2000 Monetary policy Home | News and events Accessibility Last update: October 3, 2000","release date: october 3, 2000 for immediate release the federal open market committee at its meeting today decided to maintain the existing stance of monetary policy, keeping its target for the federal funds rate at 6-1/2 percent. recent data have indicated that the expansion of aggregate demand has moderated to a pace closer to the enhanced rate of growth of the economy's potential to produce. the more rapid advances in productivity also continue to help contain costs and hold down underlying price pressures. however, the utilization of the pool of available workers remains at an unusually high level. moreover, the increase in energy prices, though having limited effect on core measures of prices to date, poses a risk of raising inflation expectations. the subdued behavior of those expectations so far has contributed importantly to maintaining an environment conducive to maximum sustainable growth. against the background of its long-term goals of price stability and sustainable economic growth and of the information currently available, the committee believes the risks continue to be weighted mainly toward conditions that may generate heightened inflation pressures in the future. 2000 monetary policy home | news and events accessibility last update: october 3, 2000",191,,hold
2000-11-15,2000,2000-11-15,https://www.federalreserve.gov/boarddocs/press/general/2000/20001115/,"Release Date: November 15, 2000 For immediate release The Federal Open Market Committee at its meeting today decided to maintain the existing stance of monetary policy, keeping its target for the federal funds rate at 6-1/2 percent. The utilization of the pool of available workers remains at an unusually high level, and the increase in energy prices, though having limited effect on core measures of prices to date, still harbors the possibility of raising inflation expectations. The Committee, accordingly, continues to see a risk of heightened inflation pressures. However, softening in business and household demand and tightening conditions in financial markets over recent months suggest that the economy could expand for a time at a pace below the productivity-enhanced rate of growth of its potential to produce. Nonetheless, to date the easing of demand pressures has not been sufficient to warrant a change in the Committee's judgment that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks continue to be weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future. 2000 Monetary policy Home | News and events Accessibility Last update: November 15, 2000","release date: november 15, 2000 for immediate release the federal open market committee at its meeting today decided to maintain the existing stance of monetary policy, keeping its target for the federal funds rate at 6-1/2 percent. the utilization of the pool of available workers remains at an unusually high level, and the increase in energy prices, though having limited effect on core measures of prices to date, still harbors the possibility of raising inflation expectations. the committee, accordingly, continues to see a risk of heightened inflation pressures. however, softening in business and household demand and tightening conditions in financial markets over recent months suggest that the economy could expand for a time at a pace below the productivity-enhanced rate of growth of its potential to produce. nonetheless, to date the easing of demand pressures has not been sufficient to warrant a change in the committee's judgment that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks continue to be weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future. 2000 monetary policy home | news and events accessibility last update: november 15, 2000",196,,hold
2000-12-19,2000,2000-12-19,https://www.federalreserve.gov/boarddocs/press/general/2000/20001219/,"Release Date: December 19, 2000 For immediate release The Federal Open Market Committee at its meeting today decided to maintain the existing stance of monetary policy, keeping its target for the federal funds rate at 6-1/2 percent. The drag on demand and profits from rising energy costs, as well as eroding consumer confidence, reports of substantial shortfalls in sales and earnings, and stress in some segments of the financial markets suggest that economic growth may be slowing further. While some inflation risks persist, they are diminished by the more moderate pace of economic activity and by the absence of any indication that longer-term inflation expectations have increased. The Committee will continue to monitor closely the evolving economic situation. Against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the Committee consequently believes that the risks are weighted mainly toward conditions that may generate economic weakness in the foreseeable future. 2000 Monetary policy Home | News and events Accessibility Last update: December 19, 2000","release date: december 19, 2000 for immediate release the federal open market committee at its meeting today decided to maintain the existing stance of monetary policy, keeping its target for the federal funds rate at 6-1/2 percent. the drag on demand and profits from rising energy costs, as well as eroding consumer confidence, reports of substantial shortfalls in sales and earnings, and stress in some segments of the financial markets suggest that economic growth may be slowing further. while some inflation risks persist, they are diminished by the more moderate pace of economic activity and by the absence of any indication that longer-term inflation expectations have increased. the committee will continue to monitor closely the evolving economic situation. against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the committee consequently believes that the risks are weighted mainly toward conditions that may generate economic weakness in the foreseeable future. 2000 monetary policy home | news and events accessibility last update: december 19, 2000",168,,hold
2001-01-31,2001,2001-01-31,https://www.federalreserve.gov/boarddocs/press/general/2001/20010131/,"Release Date: January 31, 2001 For immediate release The Federal Open Market Committee at its meeting today decided to lower its target for the federal funds rate by 50 basis points to 5-1/2 percent. In a related action, the Board of Governors approved a 50 basis point reduction in the discount rate to 5 percent. Consumer and business confidence has eroded further, exacerbated by rising energy costs that continue to drain consumer purchasing power and press on business profit margins. Partly as a consequence, retail sales and business spending on capital equipment have weakened appreciably. In response, manufacturing production has been cut back sharply, with new technologies appearing to have accelerated the response of production and demand to potential excesses in the stock of inventories and capital equipment. Taken together, and with inflation contained, these circumstances have called for a rapid and forceful response of monetary policy. The longer-term advances in technology and accompanying gains in productivity, however, exhibit few signs of abating and these gains, along with the lower interest rates, should support growth of the economy over time. Nonetheless, the Committee continues to believe that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks are weighted mainly toward conditions that may generate economic weakness in the foreseeable future. In taking the discount rate action, the Federal Reserve Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of New York, Philadelphia, Cleveland, Atlanta, Chicago, St. Louis, Minneapolis, Dallas and San Francisco. 2001 Monetary policy Home | News and events Accessibility Last update: January 31, 2001","release date: january 31, 2001 for immediate release the federal open market committee at its meeting today decided to lower its target for the federal funds rate by 50 basis points to 5-1/2 percent. in a related action, the board of governors approved a 50 basis point reduction in the discount rate to 5 percent. consumer and business confidence has eroded further, exacerbated by rising energy costs that continue to drain consumer purchasing power and press on business profit margins. partly as a consequence, retail sales and business spending on capital equipment have weakened appreciably. in response, manufacturing production has been cut back sharply, with new technologies appearing to have accelerated the response of production and demand to potential excesses in the stock of inventories and capital equipment. taken together, and with inflation contained, these circumstances have called for a rapid and forceful response of monetary policy. the longer-term advances in technology and accompanying gains in productivity, however, exhibit few signs of abating and these gains, along with the lower interest rates, should support growth of the economy over time. nonetheless, the committee continues to believe that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks are weighted mainly toward conditions that may generate economic weakness in the foreseeable future. in taking the discount rate action, the federal reserve board approved requests submitted by the boards of directors of the federal reserve banks of new york, philadelphia, cleveland, atlanta, chicago, st. louis, minneapolis, dallas and san francisco. 2001 monetary policy home | news and events accessibility last update: january 31, 2001",266,,cut
2001-03-20,2001,2001-03-20,https://www.federalreserve.gov/boarddocs/press/general/2001/20010320/,"Release Date: March 20, 2001 For immediate release The Federal Open Market Committee at its meeting today decided to lower its target for the federal funds rate by 50 basis points to 5 percent. In a related action, the Board of Governors approved a 50 basis point reduction in the discount rate to 4-1/2 percent. Persistent pressures on profit margins are restraining investment spending and, through declines in equity wealth, consumption. The associated backup in inventories has induced a rapid response in manufacturing output and, with spending having firmed a bit since last year, inventory adjustment appears to be well underway. Although current developments do not appear to have materially diminished the prospects for long-term growth in productivity, excess productive capacity has emerged recently. The possibility that this excess could continue for some time and the potential for weakness in global economic conditions suggest substantial risks that demand and production could remain soft. In these circumstances, when the economic situation could be evolving rapidly, the Federal Reserve will need to monitor developments closely. The Committee continues to believe that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks are weighted mainly toward conditions that may generate economic weakness in the foreseeable future. In taking the discount rate action, the Federal Reserve Board approved requests submitted by the Boards of Directors of all twelve Reserve Banks. 2001 Monetary policy Home | News and events Accessibility Last update: March 20, 2001","release date: march 20, 2001 for immediate release the federal open market committee at its meeting today decided to lower its target for the federal funds rate by 50 basis points to 5 percent. in a related action, the board of governors approved a 50 basis point reduction in the discount rate to 4-1/2 percent. persistent pressures on profit margins are restraining investment spending and, through declines in equity wealth, consumption. the associated backup in inventories has induced a rapid response in manufacturing output and, with spending having firmed a bit since last year, inventory adjustment appears to be well underway. although current developments do not appear to have materially diminished the prospects for long-term growth in productivity, excess productive capacity has emerged recently. the possibility that this excess could continue for some time and the potential for weakness in global economic conditions suggest substantial risks that demand and production could remain soft. in these circumstances, when the economic situation could be evolving rapidly, the federal reserve will need to monitor developments closely. the committee continues to believe that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks are weighted mainly toward conditions that may generate economic weakness in the foreseeable future. in taking the discount rate action, the federal reserve board approved requests submitted by the boards of directors of all twelve reserve banks. 2001 monetary policy home | news and events accessibility last update: march 20, 2001",244,,cut
