document_type,date,rate_decision,semantic_shift_tfidf,tone_score,uncertainty_score,excerpt
statement,2001-01-31,cut,0.7448338589089785,-0.0037593984962406013,0.007518796992481203,"Release Date: January 31, 2001 For immediate release The Federal Open Market Committee at its meeting today decided to lower its target for the federal funds rate by 50 basis points to 5-1/2 percent. In a related action, the Board of Governors approved a 50 basis point reduction in the discount rate to 5 percent. Consumer and business confidence has eroded further, exacerbated by rising energy costs that continue to drain consumer purchasing power and press on business profit margins. Partly as "
statement,2002-03-19,hold,0.7029909063878252,0.0,0.007462686567164179,"Release Date: March 19, 2002 For immediate release The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1-3/4 percent. The information that has become available since the last meeting of the Committee indicates that the economy, bolstered by a marked swing in inventory investment, is expanding at a significant pace. Nonetheless, the degree of the strengthening in final demand over coming quarters, an essential element in sustained economic ex"
statement,2000-06-28,hold,0.6982128381496,0.02247191011235955,0.016853932584269662,"Release Date: June 28, 2000 For immediate release The Federal Open Market Committee at its meeting today decided to maintain the existing stance of monetary policy, keeping its target for the federal funds rate at 6-1/2 percent. Recent data suggest that the expansion of aggregate demand may be moderating toward a pace closer to the rate of growth of the economy's potential to produce. Although core measures of prices are rising slightly faster than a year ago, continuing rapid advances in produc"
statement,2002-01-30,hold,0.6017863775927729,-0.027586206896551724,0.020689655172413793,"Release Date: January 30, 2002 For immediate release The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1-3/4 percent. Signs that weakness in demand is abating and economic activity is beginning to firm have become more prevalent. With the forces restraining the economy starting to diminish, and with the long-term prospects for productivity growth remaining favorable and monetary policy accommodative, the outlook for economic recovery has b"
statement,2000-12-19,hold,0.5989601711565496,0.011904761904761904,0.03571428571428571,"Release Date: December 19, 2000 For immediate release The Federal Open Market Committee at its meeting today decided to maintain the existing stance of monetary policy, keeping its target for the federal funds rate at 6-1/2 percent. The drag on demand and profits from rising energy costs, as well as eroding consumer confidence, reports of substantial shortfalls in sales and earnings, and stress in some segments of the financial markets suggest that economic growth may be slowing further. While s"
statement,2003-01-29,hold,0.5620220117454207,-0.005494505494505495,0.016483516483516484,"Release Date: January 29, 2003 For immediate release The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1-1/4 percent. Oil price premiums and other aspects of geopolitical risks have reportedly fostered continued restraint on spending and hiring by businesses. However, the Committee believes that as those risks lift, as most analysts expect, the accommodative stance of monetary policy, coupled with ongoing growth in productivity, will provi"
statement,2002-08-13,hold,0.49605533542035796,-0.016129032258064516,0.016129032258064516,"Release Date: August 13, 2002 For immediate release The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1 3/4 percent. The softening in the growth of aggregate demand that emerged this spring has been prolonged in large measure by weakness in financial markets and heightened uncertainty related to problems in corporate reporting and governance. The current accommodative stance of monetary policy, coupled with still-robust underlying growth i"
statement,2003-06-25,cut,0.48872860866000956,-0.003246753246753248,0.016233766233766232,"Release Date: June 25, 2003 For immediate release The Federal Open Market Committee decided today to lower its target for the federal funds rate by 25 basis points to 1 percent. In a related action, the Board of Governors approved a 25 basis point reduction in the discount rate to 2 percent. The Committee continues to believe that an accommodative stance of monetary policy, coupled with still robust underlying growth in productivity, is providing important ongoing support to economic activity. R"
statement,2007-09-18,cut,0.4865483527791623,0.014423076923076924,0.009615384615384616,"Skip to main content An official website of the United States Government Here's how you know Official websites use .gov A .gov website belongs to an official government organization in the United States. Secure .gov websites use HTTPS A lock ( Lock Locked padlock icon ) or https:// means you've safely connected to the .gov website. Share sensitive information only on official, secure websites. Back to Home Board of Governors of the Federal Reserve System Stay Connected Federal Reserve Facebook P"
statement,2003-05-06,hold,0.4792774362029213,-0.0043859649122807015,0.03070175438596491,"Release Date: May 6, 2003 For immediate release The Federal Open Market Committee decided to keep its target for the federal funds rate unchanged at 1-1/4 percent. Recent readings on production and employment, though mostly reflecting decisions made before the conclusion of hostilities, have proven disappointing. However, the ebbing of geopolitical tensions has rolled back oil prices, bolstered consumer confidence, and strengthened debt and equity markets. These developments, along with the acco"
minutes,2006-01-31,hike,0.4446880744736835,0.010757507844016136,0.006125803077842522,"Minutes of the Federal Open Market Committee January 31, 2006 A meeting of the Federal Open Market Committee was held in the offices of the Board of Governors of the Federal Reserve System in Washington, D.C., on Tuesday, January 31, 2006 at 9:00 a.m. Present: Mr. Greenspan, Chairman Mr. Geithner, Vice Chairman Ms. Bies Mr. Ferguson Mr. Guynn Mr. Kohn Mr. Lacker Mr. Olson Ms. Pianalto Ms. Yellen Mses. Cumming and Minehan, Messrs. Moskow, Poole, and Hoenig, Alternate Members of the Federal Open M"
minutes,2003-01-29,hold,0.4410460072364373,0.0008101539292465565,0.006076154469349176,"Minutes of the Federal Open Market Committee January 28-29, 2003 A meeting of the Federal Open Market Committee was held in the offices of the Board of Governors of the Federal Reserve System in Washington, D.C., on Tuesday, January 28, 2003, at 2:30 p.m. and continued on Wednesday, January 29, 2003, at 9:00 a.m. Present: Mr. Greenspan, Chairman Mr. McDonough, Vice Chairman Mr. Bernanke Ms. Bies Mr. Broaddus Mr. Ferguson Mr. Gramlich Mr. Guynn Mr. Kohn Mr. Moskow Mr. Olson Mr. Parry Mr. Hoenig, "
minutes,2006-03-28,hike,0.43507744590550423,0.021674140508221224,0.01096163428001993,"Minutes of the Federal Open Market Committee March 27-28, 2006 A meeting of the Federal Open Market Committee was held in the offices of the Board of Governors of the Federal Reserve System in Washington, D.C., on Monday, March 27, 2006 at 3:00 p.m. and continued on Tuesday, March 28, 2006 at 9:00 a.m. Present: Mr. Bernanke, Chairman Mr. Geithner, Vice Chairman Ms. Bies Mr. Guynn Mr. Kohn Mr. Kroszner Mr. Lacker Mr. Olson Ms. Pianalto Mr. Warsh Ms. Yellen Mses. Cumming and Minehan, Messrs. Mosko"
minutes,2005-02-02,hike,0.4212698610503579,0.007806955287437899,0.007239176721078779,"Minutes of the Federal Open Market Committee February 1-2, 2005 A meeting of the Federal Open Market Committee was held in the offices of the Board of Governors of the Federal Reserve System in Washington, D.C., on Tuesday, February 1, 2005, at 1:30 p.m. and continued on Wednesday, February 2, 2005, at 9:00 a.m. Present: Mr. Greenspan, Chairman Mr. Geithner, Vice Chairman Mr. Bernanke Ms. Bies Mr. Ferguson Mr. Gramlich Mr. Kohn Mr. Moskow Mr. Olson Mr. Santomero Mr. Stern Messrs. Guynn, Lacker, "
minutes,2005-03-22,hike,0.4121718583949524,0.019456165025785278,0.011017346460384434,"Minutes of the Federal Open Market Committee March 22, 2005 A meeting of the Federal Open Market Committee was held in the offices of the Board of Governors of the Federal Reserve System in Washington, D.C., on Tuesday, March 22, 2005, at 9:00 a.m. Present: Mr. Greenspan, Chairman Mr. Geithner, Vice Chairman Mr. Bernanke Ms. Bies Mr. Ferguson Mr. Gramlich Mr. Kohn Mr. Moskow Mr. Olson Mr. Santomero Mr. Stern Ms. Cumming, Messrs. Guynn and Lacker, Mses. Pianalto and Yellen, Alternate Members of t"
minutes,2003-03-18,hold,0.40921104820203147,0.0038408779149519887,0.009876543209876543,"Minutes of the Federal Open Market Committee March 18, 2003 A meeting of the Federal Open Market Committee was held in the offices of the Board of Governors of the Federal Reserve System in Washington, D.C., on Tuesday, March 18, 2003, at 9:00 a.m. Present: Mr. Greenspan, Chairman Mr. McDonough, Vice Chairman Mr. Bernanke Ms. Bies Mr. Broaddus Mr. Ferguson Mr. Gramlich Mr. Guynn Mr. Kohn Mr. Moskow Mr. Olson Mr. Parry Mr. Hoenig, Mses. Minehan and Pianalto, and Mr. Poole, Alternate Members of th"
minutes,2007-01-31,hold,0.4009151451347257,0.007682119205298014,0.009006622516556291,"Minutes of the Federal Open Market Committee January 30-31, 2007 A meeting of the Federal Open Market Committee was held in the offices of the Board of Governors of the Federal Reserve System in Washington, D.C., on Tuesday, January 30, 2007 at 2:00 p.m., and continued on Wednesday, January 31, 2007 at 9:00 a.m. Present: Mr. Bernanke, Chairman Mr. Geithner, Vice Chairman Ms. Bies Mr. Hoenig Mr. Kohn Mr. Kroszner Ms. Minehan Mr. Mishkin Mr. Moskow Mr. Poole Mr. Warsh Mr. Fisher, Ms. Pianalto, and"
minutes,2020-04-29,hold,0.39731778701293874,0.004507337526205451,0.012683438155136268,"Skip to main content An official website of the United States Government Here's how you know Official websites use .gov A .gov website belongs to an official government organization in the United States. Secure .gov websites use HTTPS A lock ( Lock Locked padlock icon ) or https:// means you've safely connected to the .gov website. Share sensitive information only on official, secure websites. Back to Home Board of Governors of the Federal Reserve System Stay Connected Federal Reserve Facebook P"
minutes,2004-03-16,hold,0.39436595004275643,0.011293634496919919,0.008983572895277207,"Minutes of the Federal Open Market Committee March 16, 2004 A meeting of the Federal Open Market Committee was held in the offices of the Board of Governors of the Federal Reserve System in Washington, D.C., on Tuesday, March 16, 2004, at 9:00 a.m. Present: Mr. Greenspan, Chairman Mr. Geithner, Vice Chairman Mr. Bernanke Ms. Bies Mr. Ferguson Mr. Gramlich Mr. Hoenig Mr. Kohn Ms. Minehan Mr. Olson Ms. Pianalto Mr. Poole Messrs. McTeer, Moskow, Santomero, and Stern, Alternate Members of the Federa"
minutes,2002-01-30,hold,0.39289848420841655,-0.0015280784413599898,0.007385712466573284,"Minutes of the Federal Open Market Committee January 29-30, 2002 A meeting of the Federal Open Market Committee was held in the offices of the Board of Governors of the Federal Reserve System in Washington, D.C., on Tuesday, January 29, 2002, at 2:30 p.m. and continued on Wednesday, January 30, 2002, at 9:00 a.m. Present: Mr. Greenspan, Chairman Mr. McDonough, Vice Chairman Ms. Bies Mr. Ferguson Mr. Gramlich Mr. Jordan Mr. McTeer Mr. Olson Mr. Santomero Mr. Stern Messrs. Broaddus, Guynn, Moskow,"
