date,year,meeting_id,statement_url,minutes_url
2000-02-02,2000,2000-02-02,https://www.federalreserve.gov/boarddocs/press/general/2000/20000202/,https://www.federalreserve.gov/fomc/minutes/20000202.htm
2000-03-21,2000,2000-03-21,https://www.federalreserve.gov/boarddocs/press/general/2000/20000321/,https://www.federalreserve.gov/fomc/minutes/20000321.htm
2000-05-16,2000,2000-05-16,https://www.federalreserve.gov/boarddocs/press/general/2000/20000516/,https://www.federalreserve.gov/fomc/minutes/20000516.htm
2000-06-28,2000,2000-06-28,https://www.federalreserve.gov/boarddocs/press/general/2000/20000628/,https://www.federalreserve.gov/fomc/minutes/20000628.htm
2000-08-22,2000,2000-08-22,https://www.federalreserve.gov/boarddocs/press/general/2000/20000822/,https://www.federalreserve.gov/fomc/minutes/20000822.htm
2000-10-03,2000,2000-10-03,https://www.federalreserve.gov/boarddocs/press/general/2000/20001003/,https://www.federalreserve.gov/fomc/minutes/20001003.htm
2000-11-15,2000,2000-11-15,https://www.federalreserve.gov/boarddocs/press/general/2000/20001115/,https://www.federalreserve.gov/fomc/minutes/20001115.htm
2000-12-19,2000,2000-12-19,https://www.federalreserve.gov/boarddocs/press/general/2000/20001219/,https://www.federalreserve.gov/fomc/minutes/20001219.htm
2001-01-31,2001,2001-01-31,https://www.federalreserve.gov/boarddocs/press/general/2001/20010131/,https://www.federalreserve.gov/fomc/minutes/20010131.htm
2001-03-20,2001,2001-03-20,https://www.federalreserve.gov/boarddocs/press/general/2001/20010320/,https://www.federalreserve.gov/fomc/minutes/20010320.htm
2001-05-15,2001,2001-05-15,https://www.federalreserve.gov/boarddocs/press/general/2001/20010515/,https://www.federalreserve.gov/fomc/minutes/20010515.htm
2001-06-27,2001,2001-06-27,https://www.federalreserve.gov/boarddocs/press/general/2001/20010627/,https://www.federalreserve.gov/fomc/minutes/20010627.htm
2001-08-21,2001,2001-08-21,https://www.federalreserve.gov/boarddocs/press/general/2001/20010821/,https://www.federalreserve.gov/fomc/minutes/20010821.htm
2001-10-02,2001,2001-10-02,https://www.federalreserve.gov/boarddocs/press/general/2001/20011002/,https://www.federalreserve.gov/fomc/minutes/20011002.htm
2001-11-06,2001,2001-11-06,https://www.federalreserve.gov/boarddocs/press/general/2001/20011106/,https://www.federalreserve.gov/fomc/minutes/20011106.htm
2001-12-11,2001,2001-12-11,https://www.federalreserve.gov/boarddocs/press/general/2001/20011211/,https://www.federalreserve.gov/fomc/minutes/20011211.htm
2002-01-30,2002,2002-01-30,https://www.federalreserve.gov/boarddocs/press/general/2002/20020130/,https://www.federalreserve.gov/fomc/minutes/20020130.htm
2002-03-19,2002,2002-03-19,https://www.federalreserve.gov/boarddocs/press/general/2002/20020319/,https://www.federalreserve.gov/fomc/minutes/20020319.htm
